16/01/2017 13:08:46.636000
16
244
 	Ток статора                     	Служебный канал                 	Напряжение статора              	Реактивная мощность             	
0	265,6	0	0	0,1	
1	265,6	0	0	0,1	
2	265,6	0	0	0,1	
3	265,6	0	0	0,1	
4	265,6	0	0	0,1	
5	265,6	0	0	0,1	
6	265,6	0	0	0,1	
7	265,6	0	0	0,1	
8	265,6	0	0	0,1	
9	265,6	0	0	0,1	
10	265,6	0	0	0,1	
11	265,6	0	0	0,1	
12	265,6	0	0	0,1	
13	265,6	0	0	0,1	
14	265,6	0	0	0,1	
15	265,6	0	0	0,1	
16	265,6	0	0	0,1	
17	265,6	0	0	0,1	
18	265,6	0	0	0,1	
19	265,6	0	0	0,1	
20	265,6	0	0	0,1	
21	265,6	0	0	0,1	
22	265,6	0	0	0,1	
23	265,6	0	0	0,1	
24	265,6	0	0	0,1	
25	265,6	0	0	0,1	
26	265,6	0	0	0,1	
27	265,6	0	0	0,1	
28	265,6	0	0	0,1	
29	265,6	0	0	0,1	
30	265,6	0	0	0,1	
31	265,6	0	0	0,1	
32	265,6	0	0	0,1	
33	265,6	0	0	0,1	
34	265,6	0	0	0,1	
35	265,6	0	0	0,1	
36	265,6	0	0	0,1	
37	265,6	0	0	0,1	
38	265,6	0	0	0,1	
39	265,6	0	0	0,1	
40	265,6	0	0	0,1	
41	265,6	0	0	0,1	
42	265,6	0	0	0,1	
43	265,6	0	0	0,1	
44	265,6	0	0	0,1	
45	265,6	0	0	0,1	
46	265,6	0	0	0,1	
47	265,6	0	0	0,1	
48	265,6	0	0	0,1	
49	265,6	0	0	0,1	
50	265,6	0	0	0,1	
51	265,6	0	0	0,1	
52	265,6	0	0	0,1	
53	265,6	0	0	0,1	
54	265,6	0	0	0,1	
55	265,6	0	0	0,1	
56	265,6	0	0	0,1	
57	265,6	0	0	0,1	
58	265,6	0	0	0,1	
59	265,6	0	0	0,1	
60	265,6	0	0	0,1	
61	265,6	0	0	0,1	
62	265,6	0	0	0,1	
63	265,6	0	0	0,1	
64	265,6	0	0	0,1	
65	265,6	0	0	0,1	
66	265,6	0	0	0,1	
67	265,6	0	0	0,1	
68	265,6	0	0	0,1	
69	265,6	0	0	0,1	
70	265,6	0	0	0,1	
71	265,6	0	0	0,1	
72	265,6	0	0	0,1	
73	265,6	0	0	0,1	
74	265,6	0	0	0,1	
75	265,6	0	0	0,1	
76	265,6	0	0	0,1	
77	265,6	0	0	0,1	
78	265,6	0	0	0,1	
79	265,6	0	0	0,1	
80	265,6	0	0	0,1	
81	265,6	0	0	0,1	
82	265,6	0	0	0,1	
83	265,6	0	0	0,1	
84	265,6	0	0	0,1	
85	265,6	0	0	0,1	
86	265,6	0	0	0,1	
87	265,6	0	0	0,1	
88	265,6	0	0	0,1	
89	265,6	0	0	0,1	
90	265,6	0	0	0,1	
91	265,6	0	0	0,1	
92	265,6	0	0	0,1	
93	265,6	0	0	0,1	
94	265,6	0	0	0,1	
95	265,6	0	0	0,1	
96	265,6	0	0	0,1	
97	265,6	0	0	0,1	
98	265,6	0	0	0,1	
99	265,6	0	0	0,1	
100	265,6	0	0	0,1	
101	265,6	0	0	0,1	
102	265,6	0	0	0,1	
103	265,6	0	0	0,1	
104	265,6	0	0	0,1	
105	265,6	0	0	0,1	
106	265,6	0	0	0,1	
107	265,6	0	0	0,1	
108	265,6	0	0	0,1	
109	265,6	0	0	0,1	
110	265,6	0	0	0,1	
111	265,6	0	0	0,1	
112	265,6	0	0	0,1	
113	265,6	0	0	0,1	
114	265,6	0	0	0,1	
115	265,6	0	0	0,1	
116	265,6	0	0	0,1	
117	265,6	0	0	0,1	
118	265,6	0	0	0,1	
119	265,6	0	0	0,1	
120	265,6	0	0	0,1	
121	265,6	0	0	0,1	
122	265,6	0	0	0,1	
123	265,6	0	0	0,1	
124	265,6	0	0	0,1	
125	265,6	0	0	0,1	
126	265,6	0	0	0,1	
127	265,6	0	0	0,1	
128	265,6	0	0	0,1	
129	265,6	0	0	0,1	
130	265,6	0	0	0,1	
131	265,6	0	0	0,1	
132	265,6	0	0	0,1	
133	265,6	0	0	0,1	
134	265,6	0	0	0,1	
135	265,6	0	0	0,1	
136	265,6	0	0	0,1	
137	265,6	0	0	0,1	
138	265,6	0	0	0,1	
139	265,6	0	0	0,1	
140	265,6	0	0	0,1	
141	265,6	0	0	0,1	
142	265,6	0	0	0,1	
143	265,6	0	0	0,1	
144	265,6	0	0	0,1	
145	265,6	0	0	0,1	
146	265,6	0	0	0,1	
147	265,6	0	0	0,1	
148	265,6	0	0	0,1	
149	265,6	0	0	0,1	
150	265,6	0	0	0,1	
151	265,6	0	0	0,1	
152	265,6	0	0	0,1	
153	265,6	0	0	0,1	
154	265,6	0	0	0,1	
155	265,6	0	0	0,1	
156	265,6	0	0	0,1	
157	265,6	0	0	0,1	
158	265,6	0	0	0,1	
159	265,6	0	0	0,1	
160	265,6	0	0	0,1	
161	265,6	0	0	0,1	
162	265,6	0	0	0,1	
163	265,6	0	0	0,1	
164	265,6	0	0	0,1	
165	265,6	0	0	0,1	
166	265,6	0	0	0,1	
167	265,6	0	0	0,1	
168	265,6	0	0	0,1	
169	265,6	0	0	0,1	
170	265,6	0	0	0,1	
171	265,6	0	0	0,1	
172	265,6	0	0	0,1	
173	265,6	0	0	0,1	
174	265,6	0	0	0,1	
175	265,6	0	0	0,1	
176	265,6	0	0	0,1	
177	265,6	0	0	0,1	
178	265,6	0	0	0,1	
179	265,6	0	0	0,1	
180	265,6	0	0	0,1	
181	265,6	0	0	0,1	
182	265,6	0	0	0,1	
183	265,6	0	0	0,1	
184	265,6	0	0	0,1	
185	265,6	0	0	0,1	
186	265,6	0	0	0,1	
187	265,6	0	0	0,1	
188	265,6	0	0	0,1	
189	265,6	0	0	0,1	
190	265,6	0	0	0,1	
191	265,6	0	0	0,1	
192	265,6	0	0	0,1	
193	265,6	0	0	0,1	
194	265,6	0	0	0,1	
195	265,6	0	0	0,1	
196	265,6	0	0	0,1	
197	265,6	0	0	0,1	
198	265,6	0	0	0,1	
199	265,6	0	0	0,1	
200	265,6	0	0	0,1	
201	265,6	0	0	0,1	
202	265,6	0	0	0,1	
203	265,6	0	0	0,1	
204	265,6	0	0	0,1	
205	265,6	0	0	0,1	
206	265,6	0	0	0,1	
207	265,6	0	0	0,1	
208	265,6	0	0	0,1	
209	265,6	0	0	0,1	
210	265,6	0	0	0,1	
211	265,6	0	0	0,1	
212	265,6	0	0	0,1	
213	265,6	0	0	0,1	
214	265,6	0	0	0,1	
215	265,6	0	0	0,1	
216	265,6	0	0	0,1	
217	265,6	0	0	0,1	
218	265,6	0	0	0,1	
219	265,6	0	0	0,1	
220	265,6	0	0	0,1	
221	265,6	0	0	0,1	
222	265,6	0	0	0,1	
223	265,6	0	0	0,1	
224	265,6	0	0	0,1	
225	265,6	0	0	0,1	
226	265,6	0	0	0,1	
227	265,6	0	0	0,1	
228	265,6	0	0	0,1	
229	265,6	0	0	0,1	
230	265,6	0	0	0,1	
231	265,6	0	0	0,1	
232	265,6	0	0	0,1	
233	265,6	0	0	0,1	
234	265,6	0	0	0,1	
235	265,6	0	0	0,1	
236	265,6	0	0	0,1	
237	265,6	0	0	0,1	
238	265,6	0	0	0,1	
239	265,6	0	0	0,1	
240	265,6	0	0	0,1	
241	265,6	0	0	0,1	
242	265,6	0	0	0,1	
243	265,6	0	0	0,1	
244	265,6	0	0	0,1	
245	265,6	0	0	0,1	
246	265,6	0	0	0,1	
247	265,6	0	0	0,1	
248	265,6	0	0	0,1	
249	265,6	0	0	0,1	
250	265,6	0	0	0,1	
251	265,6	0	0	0,1	
252	265,6	0	0	0,1	
253	265,6	0	0	0,1	
254	265,6	0	0	0,1	
255	265,6	0	0	0,1	
256	265,6	0	0	0,1	
257	265,6	0	0	0,1	
258	265,6	0	0	0,1	
259	265,6	0	0	0,1	
260	265,6	0	0	0,1	
261	265,6	0	0	0,1	
262	265,6	0	0	0,1	
263	265,6	0	0	0,1	
264	265,6	0	0	0,1	
265	265,6	0	0	0,1	
266	265,6	0	0	0,1	
267	265,6	0	0	0,1	
268	265,6	0	0	0,1	
269	265,6	0	0	0,1	
270	265,6	0	0	0,1	
271	265,6	0	0	0,1	
272	265,6	0	0	0,1	
273	265,6	0	0	0,1	
274	265,6	0	0	0,1	
275	265,6	0	0	0,1	
276	265,6	0	0	0,1	
277	265,6	0	0	0,1	
278	265,6	0	0	0,1	
279	265,6	0	0	0,1	
280	265,6	0	0	0,1	
281	265,6	0	0	0,1	
282	265,6	0	0	0,1	
283	265,6	0	0	0,1	
284	265,6	0	0	0,1	
285	265,6	0	0	0,1	
286	265,6	0	0	0,1	
287	265,6	0	0	0,1	
288	265,6	0	0	0,1	
289	265,6	0	0	0,1	
290	265,6	0	0	0,1	
291	265,6	0	0	0,1	
292	265,6	0	0	0,1	
293	265,6	0	0	0,1	
294	265,6	0	0	0,1	
295	265,6	0	0	0,1	
296	265,6	0	0	0,1	
297	265,6	0	0	0,1	
298	265,6	0	0	0,1	
299	265,6	0	0	0,1	
300	265,6	0	0	0,1	
